type,Day,NC_IMAQAL,telegram_IMAQAL,hormud_IMAQAL,nationlink_IMAQAL,somnet_IMAQAL,somtel_IMAQAL,telesom_IMAQAL,golis_IMAQAL,total_IMAQAL
IMAQAL,2019-10-24,0,0,71,0,0,0,0,15,86
IMAQAL,2019-10-25,0,0,1955,0,9,0,0,250,2214
IMAQAL,2019-10-26,0,0,676,0,5,0,0,94,775
IMAQAL,2019-10-27,0,0,817,0,2,0,0,61,880
IMAQAL,2019-10-28,0,0,935,0,3,0,0,83,1021
IMAQAL,2019-10-29,0,0,814,0,2,0,0,78,894
IMAQAL,2019-10-30,0,0,5709,0,31,0,0,431,6171
IMAQAL,2019-10-31,0,0,2131,0,12,0,0,230,2373
IMAQAL,2019-11-01,0,1,981,0,4,0,0,83,1069
IMAQAL,2019-11-02,0,0,4680,0,20,0,0,470,5170
IMAQAL,2019-11-03,0,0,1010,0,7,0,0,62,1079
IMAQAL,2019-11-04,0,0,712,0,6,0,0,55,773
IMAQAL,2019-11-05,0,0,728,0,1,0,0,57,786
IMAQAL,2019-11-06,0,0,2978,0,14,0,0,311,3303
IMAQAL,2019-11-07,0,0,1326,0,2,0,0,149,1477
IMAQAL,2019-11-08,0,0,839,0,6,0,0,128,973
IMAQAL,2019-11-09,0,0,719,0,1,0,0,111,831
IMAQAL,2019-11-10,0,0,744,0,11,0,0,134,889
IMAQAL,2019-11-11,0,0,855,0,0,0,0,48,903
IMAQAL,2019-11-12,0,0,1001,0,2,0,0,116,1119
IMAQAL,2019-11-13,0,0,9578,0,54,0,0,1050,10682
IMAQAL,2019-11-14,0,0,2810,0,4,0,0,468,3282
IMAQAL,2019-11-15,0,0,1654,0,8,0,0,400,2062
IMAQAL,2019-11-16,0,0,972,0,2,0,0,180,1154
IMAQAL,2019-11-17,0,0,910,0,3,0,0,122,1035
IMAQAL,2019-11-18,0,0,737,0,0,0,0,111,848
IMAQAL,2019-11-19,0,0,786,0,0,0,0,130,916
IMAQAL,2019-11-20,0,0,3811,0,14,0,0,496,4321
IMAQAL,2019-11-21,0,0,1428,0,10,0,0,194,1632
IMAQAL,2019-11-22,0,0,1758,0,8,0,0,245,2011
IMAQAL,2019-11-23,0,0,640,0,1,0,0,77,718
